id,name,phone,city,latitude,longitude,category,years_experience,hourly_rate,rating,n_reviews,response_time_h,response_rate,completion_rate,no_show_rate,is_verified,is_available,subscription,global_score,created_at
1,Martin Le Lenoir,0601338908,Rabat,33.9182,-6.89024,Maçonnerie,22,181,2.0,26,3.8,0.85,0.83,0.07,1,0,basic,0.722,2024-11-15
2,Monique-Agathe Buisson,0678161849,Meknès,33.85896,-5.62179,Carrelage,4,265,1.9,97,2.6,0.85,0.71,0.03,1,1,free,0.445,2025-01-29
3,Manon Martin Le Lemoine,0692832764,Rabat,33.99498,-6.85167,Carrelage,7,192,2.1,90,3.5,0.92,0.93,0.03,1,1,basic,0.655,2025-03-06
4,Augustin Weiss,0638849696,Rabat,33.95841,-6.74584,Informatique,13,265,2.6,127,0.7,1.0,0.85,0.01,1,1,premium,0.606,2026-03-09
5,Corinne Becker de Martins,0684514627,Fès,34.09645,-5.01683,Électricité,17,81,2.8,119,9.2,0.94,0.78,0.08,1,0,free,0.756,2026-03-07
6,Renée Peron,0770154303,Agadir,30.50167,-9.59644,Maçonnerie,18,120,2.0,41,0.3,0.74,0.72,0.11,0,1,elite,0.763,2025-10-04
7,Jacqueline Boutin de la Chevalier,0787133150,Fès,33.9825,-4.91947,Serrurerie,23,197,4.9,51,2.7,0.5,0.91,0.01,1,1,free,0.992,2025-05-09
8,Alain Le Charpentier,0763116566,Rabat,34.02396,-6.8895,Jardinage,24,319,2.2,33,6.0,0.53,0.9,0.1,1,1,elite,0.74,2024-09-24
9,Grégoire Devaux,0608013267,Marrakech,31.56282,-7.97325,Menuiserie,15,326,3.0,71,0.7,0.7,0.72,0.06,0,1,free,0.811,2025-09-13
10,Diane Sauvage,0650097882,Agadir,30.41115,-9.49922,Nettoyage,5,109,3.8,124,9.7,0.54,0.76,0.09,0,1,free,0.566,2024-10-05
11,Dominique-Michelle Gomez,0724751079,Marrakech,31.64656,-8.08062,Électricité,9,131,3.0,80,0.2,0.61,0.78,0.14,0,0,free,0.615,2025-06-18
12,Lucy Breton,0641182449,Agadir,30.3538,-9.52594,Informatique,22,187,2.6,2,3.8,0.6,0.89,0.04,1,0,premium,0.727,2024-07-27
13,Laetitia Chauveau,0780112805,Rabat,34.04993,-6.77039,Plomberie,21,155,1.5,33,1.7,0.52,0.81,0.14,0,1,elite,0.629,2025-06-06
14,Gilbert Poulain,0626025634,Marrakech,31.66887,-7.94501,Carrelage,20,161,4.2,104,4.6,0.55,0.96,0.13,1,0,basic,0.813,2025-09-19
15,Joseph Duval,0758685014,Tanger,35.71738,-5.77014,Maçonnerie,13,171,2.3,49,2.6,0.99,0.71,0.09,1,1,free,0.738,2025-08-25
16,Yves Hervé de la Aubry,0656159514,Rabat,33.99608,-6.82504,Peinture,1,339,1.7,111,1.1,0.7,0.82,0.04,1,1,basic,0.597,2025-06-28
17,Alice Boutin-Hervé,0777738721,Fès,34.05828,-5.04304,Nettoyage,10,225,4.4,77,2.2,0.82,0.8,0.12,0,1,free,0.851,2025-01-21
18,René Lefèvre,0776320163,Marrakech,31.55325,-8.07922,Jardinage,15,170,3.6,18,4.9,0.85,0.84,0.08,0,1,free,0.689,2024-10-19
19,Isabelle Lucas,0727743487,Oujda,34.72293,-1.80591,Déménagement,20,202,2.6,113,1.0,0.54,0.79,0.04,1,1,premium,0.816,2024-10-24
20,Léon Payet,0769096705,Fès,33.97519,-4.95806,Informatique,14,232,2.2,106,4.2,0.93,0.99,0.06,0,1,free,0.559,2026-02-12
