id,name,phone,city,latitude,longitude,created_at
1,Stéphane Bonnin,0762282772,Meknès,34.00085,-5.50643,2026-05-26
2,Matthieu Rodriguez-Grégoire,0628519611,Rabat,34.06295,-6.85124,2025-06-17
3,Dominique Paul,0745447022,Agadir,30.3284,-9.67306,2026-01-28
4,Henri Maillet,0732701851,Meknès,33.79591,-5.46206,2024-07-19
5,Nath Bonnet,0756792287,Meknès,33.88943,-5.58845,2025-09-07
6,Arthur Lecomte,0699663658,Oujda,34.6108,-1.86213,2024-07-20
7,Geneviève Costa,0609481813,Oujda,34.73771,-1.87985,2026-02-27
8,Paulette Blondel Le Lemaître,0780182043,Casablanca,33.67197,-7.5851,2025-02-10
9,Isaac David,0769070562,Oujda,34.59689,-1.90415,2025-08-02
10,Augustin Ferreira,0711182422,Casablanca,33.65086,-7.62928,2025-02-20
11,Thibault Marchal du Joseph,0609520046,Rabat,33.94614,-6.74383,2024-09-13
12,Bernard Jacquot,0761033993,Tanger,35.68219,-5.74902,2025-10-21
13,René Martel,0778617063,Meknès,33.99066,-5.59718,2024-06-23
14,Thibaut Ledoux,0638249671,Agadir,30.43949,-9.57947,2026-03-17
15,Colette Letellier,0638687007,Marrakech,31.69066,-8.05843,2026-03-01
16,Gérard Poulain,0674946539,Agadir,30.46089,-9.67002,2025-11-08
17,Gabrielle Aubert-Dupont,0641612846,Agadir,30.32953,-9.54638,2025-01-05
18,Tristan Coulon,0774355379,Tanger,35.84251,-5.7377,2025-05-06
19,Hortense de Dupuis,0697002687,Casablanca,33.66262,-7.66899,2025-07-11
20,Matthieu de la Lamy,0680715695,Rabat,34.08302,-6.80936,2025-07-05
21,Arnaude-Édith Gautier,0617537030,Fès,34.10663,-4.93257,2025-03-18
22,Xavier du Perret,0733750479,Tanger,35.6928,-5.76561,2025-01-04
23,Aurélie Toussaint,0714987283,Casablanca,33.50739,-7.52037,2026-04-10
24,Isaac Faivre-Thierry,0624938430,Fès,33.93932,-5.08038,2026-05-14
25,Thérèse Diallo,0660566418,Agadir,30.46687,-9.51527,2025-09-24
26,Grégoire Picard,0604687506,Oujda,34.65675,-1.8554,2024-12-20
27,Antoine Bousquet de la Thibault,0636133254,Tanger,35.66908,-5.81847,2024-08-07
28,William Hamon,0695431735,Rabat,33.91882,-6.85631,2024-07-29
29,Joseph Antoine du Bigot,0699717911,Tanger,35.76375,-5.89092,2024-08-05
30,Denis Hernandez de Michaud,0620704961,Casablanca,33.54659,-7.50546,2024-09-16
31,Bertrand Philippe,0761963990,Casablanca,33.58591,-7.63414,2025-09-11
32,Joseph Peron,0650785931,Meknès,33.88576,-5.56284,2024-09-17
33,Susanne Samson,0692845679,Casablanca,33.59368,-7.6833,2025-09-02
34,Benoît Vincent-Lelièvre,0624968549,Fès,33.97777,-4.93578,2025-12-10
35,Nicole Lambert,0745089203,Fès,33.95706,-5.04137,2025-11-05
36,Adèle Guyon,0631537795,Casablanca,33.55625,-7.65566,2026-01-17
37,Patricia Mary,0617073033,Tanger,35.7846,-5.85158,2025-09-24
38,Théodore Jacob,0763620501,Marrakech,31.57307,-7.93038,2025-06-05
39,Laure Berger-Hernandez,0739500334,Casablanca,33.58493,-7.66712,2024-11-29
40,Luce Grondin,0783230241,Marrakech,31.71283,-7.93378,2024-06-25
41,Gabrielle Moreau,0653473552,Fès,34.00712,-4.93786,2025-11-25
42,Antoine Grenier,0623386559,Meknès,33.97531,-5.64127,2025-08-17
43,Catherine Benoit,0684253042,Marrakech,31.72053,-7.92422,2025-11-06
44,Léon Gonzalez,0791286857,Oujda,34.62383,-2.00191,2025-11-17
45,Richard Bousquet,0777496903,Oujda,34.61729,-1.86546,2025-01-14
46,Audrey Klein-Joseph,0646692548,Marrakech,31.61914,-8.03853,2024-08-29
47,Étienne-Éric Lopes,0739078956,Fès,34.0877,-5.04431,2025-09-08
48,Patrick Toussaint de la Bernier,0754602734,Oujda,34.67211,-1.94005,2026-03-26
49,Charlotte-Marianne Michaud,0643111508,Rabat,33.99043,-6.93189,2024-12-26
50,Simone-Manon Le Goff,0743928404,Tanger,35.69391,-5.87092,2025-03-19
51,Dominique Le Bruneau,0790782633,Tanger,35.82072,-5.8548,2025-01-04
52,Élodie Pons,0775153663,Oujda,34.62913,-1.89259,2025-08-27
53,Michel Le Boyer,0692407553,Oujda,34.76301,-2.013,2025-08-07
54,Nathalie-Nicole Weber,0759090225,Meknès,33.93366,-5.56819,2026-01-06
55,Victoire Marin,0718637159,Meknès,33.99732,-5.61126,2025-09-09
56,Augustin Dupuy,0609702316,Agadir,30.33985,-9.68365,2025-03-21
57,Gabrielle Meyer,0670580256,Marrakech,31.57178,-7.9466,2025-07-09
58,Susan Gomez,0771632346,Fès,34.13916,-5.08019,2026-05-31
59,Julien Lopes-Chartier,0793874302,Oujda,34.61292,-1.89516,2025-09-03
60,Dorothée Le Bonnet,0685977790,Rabat,34.09108,-6.81893,2024-09-05
61,Joséphine Pascal,0746926329,Agadir,30.45943,-9.50753,2025-08-20
62,Marc Pinto,0660324841,Oujda,34.66176,-1.877,2026-05-19
63,Lucas Boulanger-Gérard,0651185672,Marrakech,31.71788,-8.00028,2025-02-17
64,Nath Perrin-Marchal,0676563600,Marrakech,31.63081,-7.98928,2025-02-15
65,Nathalie Lebon-Allain,0777118372,Rabat,34.06611,-6.9202,2025-09-29
66,Alice Antoine du Goncalves,0691241862,Agadir,30.50165,-9.66932,2024-08-22
67,Susanne Peltier,0723083708,Casablanca,33.61145,-7.66472,2026-03-22
68,Michelle De Sousa-Leroux,0690063353,Rabat,33.99725,-6.88304,2024-12-25
69,Bertrand Bazin,0653131220,Rabat,33.91626,-6.94367,2025-08-03
70,Geneviève-Inès Pons,0693866133,Rabat,34.08914,-6.87994,2024-09-20
71,Adélaïde Pinto,0706373149,Tanger,35.72131,-5.93887,2025-06-16
72,Luce Teixeira de la Delaunay,0797189241,Casablanca,33.47955,-7.65065,2026-02-08
73,Agathe Gautier,0652571509,Tanger,35.86359,-5.79155,2026-01-24
74,Maurice-Émile Pineau,0689030914,Oujda,34.66127,-1.881,2025-02-01
75,Patrick Sauvage,0625743263,Meknès,33.94912,-5.5214,2026-03-23
76,Renée Simon,0752450864,Casablanca,33.51647,-7.54108,2024-06-28
77,Daniel Caron,0638033968,Marrakech,31.70451,-8.01758,2025-04-29
78,Astrid Julien,0713023212,Fès,34.02084,-5.1068,2026-01-31
79,Dominique Dufour,0742336293,Marrakech,31.57249,-8.07231,2025-04-10
80,Madeleine Petit,0647156627,Agadir,30.44432,-9.49697,2025-08-29
81,Arthur Lenoir,0670661498,Meknès,33.89464,-5.4965,2024-11-07
82,Odette de Imbert,0746897152,Fès,33.98082,-5.00786,2025-09-27
83,Aimé Lacroix-Auger,0685766656,Marrakech,31.55485,-8.04821,2025-10-18
84,Chantal Guillaume,0701692364,Agadir,30.4583,-9.57901,2025-05-26
85,Frédérique Paul de la Caron,0666337050,Oujda,34.71588,-1.9399,2026-05-19
86,Vincent Rousseau,0643992011,Fès,33.9817,-5.00963,2026-03-25
87,Margaud Deschamps-Boucher,0683626448,Meknès,33.87137,-5.52867,2025-12-01
88,Camille Dubois,0619524364,Meknès,33.91211,-5.49672,2024-06-10
89,Michelle du Faivre,0668646225,Fès,34.10171,-5.10777,2024-12-11
90,Hortense de la Guérin,0679323023,Fès,33.96801,-5.06876,2025-02-24
91,Manon Valentin,0621416141,Meknès,33.88068,-5.45801,2025-05-20
92,Pauline Chauvet,0600409013,Casablanca,33.59162,-7.59458,2025-11-20
93,André Boutin,0777596555,Casablanca,33.54622,-7.58546,2025-04-22
94,Joseph Garcia,0790551076,Marrakech,31.72485,-7.94541,2024-10-24
95,Agathe Dupont,0735797863,Casablanca,33.59513,-7.51002,2024-06-07
96,Pauline Labbé de la Muller,0657397691,Tanger,35.65499,-5.86423,2025-05-26
97,Nicolas Mary,0716493289,Meknès,33.98844,-5.45185,2025-11-02
98,Thomas Adam,0787271783,Casablanca,33.49264,-7.52562,2025-02-08
99,Camille Perez-Gaudin,0616025643,Marrakech,31.55824,-7.88505,2025-02-22
100,Pénélope Baudry-Launay,0687153991,Oujda,34.78432,-1.87451,2026-03-25
101,Daniel Moreau du Charpentier,0786334141,Tanger,35.73291,-5.78699,2024-09-26
102,Valérie du Lefort,0619525690,Rabat,33.98636,-6.82166,2025-04-18
103,Daniel De Sousa,0765528993,Casablanca,33.59257,-7.65686,2024-09-21
104,Rémy Renaud,0724377294,Meknès,33.78738,-5.47111,2024-10-31
105,Anouk Alexandre,0649737460,Casablanca,33.59448,-7.63112,2025-05-11
106,Alexandria Girard,0602764208,Fès,34.10419,-5.06257,2025-07-10
107,Étienne Breton-Roche,0766184438,Tanger,35.74273,-5.83975,2025-07-12
108,Thierry de la Dijoux,0647292774,Rabat,33.94109,-6.78706,2024-10-30
109,Marcelle Picard,0659126620,Marrakech,31.56856,-7.9274,2024-09-10
110,Martine Coulon,0618596263,Tanger,35.86202,-5.90327,2024-07-08
111,Paulette Marion,0661764750,Rabat,33.96487,-6.84406,2024-10-04
112,Charlotte Goncalves,0609997419,Rabat,33.93066,-6.84393,2024-12-06
113,Olivier Roussel-Seguin,0749215182,Meknès,33.89008,-5.51604,2025-07-24
114,Marie Le Bailly,0718981312,Casablanca,33.55014,-7.52116,2026-02-07
115,Claire Humbert de Rousseau,0710293218,Fès,33.92634,-5.01141,2025-02-21
116,Hugues Renaud du Jacques,0758260340,Casablanca,33.48329,-7.67094,2025-11-17
117,Dorothée Schneider-Briand,0758598831,Agadir,30.46221,-9.61001,2026-04-13
118,Laure-Aurore Guichard,0732983954,Casablanca,33.51626,-7.65724,2024-10-13
119,Constance de la Foucher,0726714628,Meknès,33.80147,-5.60028,2024-12-29
120,Capucine Barre,0659892625,Rabat,34.04891,-6.89146,2025-08-22
121,Théophile Gaillard,0641818615,Meknès,33.79099,-5.5249,2026-03-21
122,Roger Barbier-Chartier,0723401636,Rabat,33.99124,-6.8776,2024-09-19
123,Léon-Thomas Lévêque,0797185948,Rabat,33.95079,-6.79223,2025-03-08
124,Alfred Moulin de Laine,0725889679,Rabat,34.10664,-6.91279,2024-10-12
125,Frédérique Descamps,0622694053,Agadir,30.32175,-9.59517,2026-04-29
126,Sophie-Christine Pascal,0778446834,Meknès,33.93821,-5.61582,2026-03-16
127,Benoît Laine,0711131290,Rabat,34.11765,-6.86181,2024-08-29
128,Susan Simon-Dumont,0668277881,Agadir,30.43951,-9.59965,2025-07-24
129,Margot Maillot,0668538909,Casablanca,33.59824,-7.50096,2025-09-06
130,Alex Lesage,0621528506,Fès,34.07103,-4.91742,2025-10-24
131,Étienne Moreau de Riou,0738144744,Meknès,33.82225,-5.44574,2025-01-08
132,Luce Peltier,0648079705,Casablanca,33.62457,-7.57492,2024-06-10
133,Élisabeth Blondel du Becker,0652650167,Oujda,34.64963,-1.94299,2024-12-23
134,Rémy Moreau,0717024376,Rabat,34.02719,-6.75544,2025-06-22
135,Patricia Mary,0717722560,Agadir,30.3985,-9.5133,2025-06-06
136,Christophe Étienne,0666502374,Marrakech,31.54532,-8.02761,2024-10-03
137,Andrée-Emmanuelle Leleu,0656862110,Meknès,33.89114,-5.54826,2024-10-11
138,Raymond de la Garcia,0605690674,Fès,33.9996,-5.10516,2025-03-19
139,Aurore Duhamel du Brun,0682341436,Oujda,34.59645,-1.92676,2024-12-24
140,Tristan-Eugène Fleury,0639231260,Oujda,34.73134,-1.84438,2025-03-11
141,Susan Lefort,0610668433,Marrakech,31.72228,-7.99703,2025-05-14
142,Marcel Chevallier,0641454563,Meknès,33.889,-5.54517,2025-04-27
143,Océane Marin,0734749162,Casablanca,33.50429,-7.69779,2025-02-17
144,Isaac Charrier,0608255598,Oujda,34.6572,-1.9537,2026-02-13
145,Audrey Da Costa,0711291093,Tanger,35.70291,-5.88244,2024-12-18
146,Isaac Toussaint-Breton,0747382023,Oujda,34.7787,-2.00332,2025-08-06
147,Auguste-Léon Fabre,0757161768,Agadir,30.51247,-9.54202,2025-11-01
148,Grégoire de Potier,0640903678,Casablanca,33.50109,-7.63863,2025-11-11
149,Philippe Courtois,0786694320,Rabat,33.94858,-6.78739,2024-11-14
150,Honoré Chartier,0788443448,Marrakech,31.64942,-8.08729,2024-10-03
151,Guy Petitjean,0702424033,Fès,33.97361,-4.99274,2025-12-03
152,Marie Caron,0751842694,Rabat,33.91309,-6.87458,2025-05-02
153,Françoise Lemoine,0734240891,Casablanca,33.60033,-7.69566,2026-05-09
154,Thérèse Olivier,0673543962,Meknès,33.98986,-5.59977,2025-09-03
155,Augustin Schneider,0671727223,Marrakech,31.67919,-7.99539,2026-01-08
156,Victor Thibault du Evrard,0704226931,Oujda,34.78256,-1.9805,2024-10-28
157,Anne Daniel,0718209166,Rabat,34.00499,-6.85132,2024-06-25
158,Marcelle Pasquier,0623142900,Rabat,34.09151,-6.78464,2024-09-20
159,Sébastien Wagner,0679724572,Tanger,35.83576,-5.92374,2025-02-08
160,Adèle du Gaillard,0600184186,Casablanca,33.58251,-7.64008,2024-10-27
161,Marc Letellier,0762543617,Casablanca,33.66222,-7.69272,2024-11-24
162,Roger Dufour,0751951510,Rabat,33.96134,-6.7429,2026-02-13
163,Océane Albert,0662494514,Fès,33.96369,-4.99341,2025-10-28
164,Georges Hoarau,0602252677,Tanger,35.8531,-5.76682,2024-08-11
165,Thibaut de la Samson,0721522655,Rabat,34.03773,-6.74223,2025-10-23
166,Arthur Bernard,0723668788,Meknès,33.88945,-5.44506,2025-10-21
167,Laurent Fabre,0789313503,Marrakech,31.60455,-7.96359,2024-06-21
168,Gilles Ferrand,0605524728,Tanger,35.77212,-5.73506,2025-08-09
169,Roger Maillet,0612606501,Marrakech,31.56696,-8.04065,2026-04-13
170,Frédéric Roy,0602521310,Rabat,34.01589,-6.82129,2026-01-07
171,Pauline Nicolas,0684765704,Meknès,33.81776,-5.61596,2024-09-25
172,Nath Poirier,0682066784,Fès,33.93817,-4.9692,2026-01-10
173,Bernadette de Gaudin,0641862369,Agadir,30.47307,-9.6146,2024-07-31
174,Paulette Delorme,0677566205,Marrakech,31.60621,-7.91137,2026-03-28
175,Emmanuelle-Claude Neveu,0659503428,Meknès,33.8275,-5.63197,2024-09-21
176,Denise Lecomte,0738303419,Rabat,33.95861,-6.94733,2026-01-03
177,Anastasie Lambert,0605140546,Casablanca,33.58688,-7.52705,2025-10-29
178,Antoinette-Danielle Bigot,0721568182,Marrakech,31.58939,-8.00475,2024-06-28
179,Cécile Le Gall,0642271133,Meknès,33.88852,-5.46756,2026-05-02
180,Marguerite Legros,0772545960,Fès,34.09142,-5.07329,2026-06-03
181,Gérard Hernandez,0629710248,Meknès,33.83709,-5.43984,2024-09-01
182,Louis Marin,0721495511,Oujda,34.59894,-1.95168,2024-12-04
183,Colette Gaudin,0772197054,Oujda,34.63436,-1.91718,2025-07-19
184,Zoé Le Merle,0675895516,Meknès,33.97069,-5.45711,2025-11-04
185,Louis-Gilles Blot,0690380214,Oujda,34.63542,-1.8302,2025-06-23
186,Antoinette Brun,0667157787,Fès,34.04846,-4.9235,2024-09-23
187,Thibaut Chrétien,0763651559,Rabat,33.95177,-6.92628,2025-10-14
188,Diane Cordier,0770827235,Marrakech,31.67324,-7.98624,2026-01-06
189,Olivie Valette,0656730306,Casablanca,33.67857,-7.53051,2025-03-07
190,Adrien Marie de la Arnaud,0646147683,Agadir,30.45714,-9.68813,2026-04-20
191,Valérie Jacquet,0754235677,Agadir,30.35949,-9.69459,2025-12-04
192,Grégoire Caron,0708931992,Fès,34.13397,-5.01367,2025-05-01
193,Alex Duhamel,0675164807,Tanger,35.65446,-5.74827,2024-10-10
194,Noémi de la Costa,0633682963,Oujda,34.71674,-1.89445,2025-05-26
195,Eugène Lacombe,0655044817,Marrakech,31.72731,-7.8791,2026-03-30
196,Thibault Caron Le Guibert,0785127652,Oujda,34.66812,-1.94346,2025-12-22
197,Thibault-Augustin Cordier,0749111109,Fès,34.04255,-5.02561,2025-07-30
198,Mathilde de la Ledoux,0678904633,Rabat,34.02012,-6.78717,2025-09-12
199,Adélaïde Mallet,0657660538,Meknès,33.81015,-5.47025,2025-03-21
200,Anouk Laroche,0730600025,Agadir,30.50988,-9.64902,2025-11-17
201,Dominique du Le Gall,0738639609,Tanger,35.72384,-5.73472,2025-08-17
202,Franck Boulanger,0665826312,Fès,34.1283,-5.02369,2025-11-02
203,Léon Diaz,0782531106,Rabat,34.04932,-6.78013,2024-06-15
204,Madeleine Bazin,0696027523,Fès,33.93121,-4.95512,2026-04-03
205,Audrey Roussel,0664041209,Marrakech,31.58559,-7.97344,2024-09-17
206,Benoît Mathieu,0624421175,Rabat,34.01206,-6.82087,2025-01-02
207,Théophile Faure,0717136657,Meknès,33.80716,-5.48342,2024-11-15
208,René de Cousin,0615579980,Fès,33.98979,-4.91273,2024-11-13
209,Audrey-Lucy Hervé,0680882351,Agadir,30.52003,-9.66451,2025-01-12
